DDCTransactionIdE51455820D48F7088DC30C9CA71A5EE0_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F77202_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.15-12.10.22, Duration=4.334405, RunGuid=RunIDE147C97AB54F1BA7935711A3907497A3
DDCTransactionId19DDB2FD284C35F9992BDAA1A54435FB_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F7720__66F5A912C12ECCBFC7828C141D8C68C1A07C0A15, StartTime=2016.05.15-12.10.22, HierarchicalDDC=, DataSize=65797, Duration=0.125933, RunGuid=RunIDE147C97AB54F1BA7935711A3907497A3
DDCTransactionId52D1906EB14CADC495B015B2FF0A643D_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F7720__4776B6E2E6502A15BA73B7522CDBB3F8E50002AD, StartTime=2016.05.15-12.10.22, HierarchicalDDC=, DataSize=22665, Duration=0.029095, RunGuid=RunIDE147C97AB54F1BA7935711A3907497A3
DDCTransactionIdE51455820D48F7088DC30C9CA71A5EE0_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090AF89_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.15-12.10.23, Duration=558.683350, RunGuid=RunIDE147C97AB54F1BA7935711A3907497A3
DDCTransactionId52D1906EB14CADC495B015B2FF0A643D_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__F781C0B0C2693BF17FB27AC24C523D4AD3350E86, StartTime=2016.05.15-12.10.23, HierarchicalDDC=, DataSize=524553, Duration=0.317276, RunGuid=RunIDE147C97AB54F1BA7935711A3907497A3
DDCTransactionId19DDB2FD284C35F9992BDAA1A54435FB_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__EC69846C8DD084F28BBD11A348C2B577D88F8262, StartTime=2016.05.15-12.10.23, HierarchicalDDC=, DataSize=131335, Duration=0.037149, RunGuid=RunIDE147C97AB54F1BA7935711A3907497A3
DDCTransactionId3E671F8A584A9414EC88EE8D2C88A840_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__1423AB5FD021F7D2A063652CBFD2D5D24334CF57, StartTime=2016.05.15-12.10.23, HierarchicalDDC=, DataSize=33031, Duration=0.037204, RunGuid=RunIDE147C97AB54F1BA7935711A3907497A3
DDCTransactionId3E671F8A584A9414EC88EE8D2C88A840_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__1AC1C47CE01BB3791E07B3F37B4DEBBD29C103E3, StartTime=2016.05.15-12.10.23, HierarchicalDDC=, DataSize=8455, Duration=0.018895, RunGuid=RunIDE147C97AB54F1BA7935711A3907497A3
DDCTransactionId3E671F8A584A9414EC88EE8D2C88A840_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__DD3D508F2B287118D83B2811676DC879755E7F88, StartTime=2016.05.15-12.10.23, HierarchicalDDC=, DataSize=4452, Duration=0.021428, RunGuid=RunIDE147C97AB54F1BA7935711A3907497A3
DDCTransactionIdE51455820D48F7088DC30C9CA71A5EE0_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5075C5404C9665C57F66B49F2C5D8D12_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.15-12.10.35, Duration=27.328678, RunGuid=RunIDE147C97AB54F1BA7935711A3907497A3
DDCTransactionId19DDB2FD284C35F9992BDAA1A54435FB_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5075C5404C9665C57F66B49F2C5D8__23B11D0C14DC5B9C0C0D81B28ED055E07DD24DBD, StartTime=2016.05.15-12.10.35, HierarchicalDDC=, DataSize=131335, Duration=0.109296, RunGuid=RunIDE147C97AB54F1BA7935711A3907497A3
DDCTransactionId52D1906EB14CADC495B015B2FF0A643D_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5075C5404C9665C57F66B49F2C5D8__87E57DDE6EEE045F0A3F4444DC7E5DDBEB9DA85E, StartTime=2016.05.15-12.10.35, HierarchicalDDC=, DataSize=33031, Duration=0.037469, RunGuid=RunIDE147C97AB54F1BA7935711A3907497A3
