DDCTransactionId93EF6B67AA491D38BA6D7B931AD3ADA8_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC4F2_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.15-12.41.18, Duration=27.089714, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId1C235FB27240DEF9C018C8910909FCEE_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC__75915B35B64D0748F43AA1CFEFA6A33478BFF803, StartTime=2016.05.15-12.41.18, HierarchicalDDC=, DataSize=65799, Duration=0.028949, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId1412F9FEA34146C70C3E9E9D05C2CD86_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC__2A64CDF4F42A58D87EDA3946300B893AACC7FC54, StartTime=2016.05.15-12.41.18, HierarchicalDDC=, DataSize=16647, Duration=0.023641, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId1412F9FEA34146C70C3E9E9D05C2CD86_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC__47F0ABDC498713ED6F98BFB13D1B509E584A2F29, StartTime=2016.05.15-12.41.18, HierarchicalDDC=, DataSize=6604, Duration=0.015911, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId93EF6B67AA491D38BA6D7B931AD3ADA8_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA5_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.15-12.41.18, Duration=3.647331, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId1412F9FEA34146C70C3E9E9D05C2CD86_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA__BCAC7ABACC5B5D4A6DC129FB4BB94D4A3E089E06, StartTime=2016.05.15-12.41.18, HierarchicalDDC=, DataSize=262405, Duration=0.072751, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId1C235FB27240DEF9C018C8910909FCEE_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA__D20BFAB030FB8CFC04A0587A92BEDA874205D3CA, StartTime=2016.05.15-12.41.18, HierarchicalDDC=, DataSize=65797, Duration=0.030167, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId1412F9FEA34146C70C3E9E9D05C2CD86_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_3E9DD153456FBFC774C1B0A118D3BFA__026BD0D5597652AED9C7644143EE6AB59FB39BB5, StartTime=2016.05.15-12.41.18, HierarchicalDDC=, DataSize=22958, Duration=0.019297, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId93EF6B67AA491D38BA6D7B931AD3ADA8_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_150B91D642C53A596C601EA0148536EE_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F9A99193F000000000800000005000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.15-12.41.18, Duration=22.429752, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId1412F9FEA34146C70C3E9E9D05C2CD86_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_150B91D642C53A596C601EA014853__B7A3A8BC6411EC8FA16A880E89F13C632A00D2C2, StartTime=2016.05.15-12.41.18, HierarchicalDDC=, DataSize=65799, Duration=0.043496, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId1C235FB27240DEF9C018C8910909FCEE_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_150B91D642C53A596C601EA014853__4266377D3FC44D8C010D85759B11815CFDEF52E4, StartTime=2016.05.15-12.41.18, HierarchicalDDC=, DataSize=16647, Duration=0.024263, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
DDCTransactionId1C235FB27240DEF9C018C8910909FCEE_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_150B91D642C53A596C601EA014853__EDB67CC9363A163D5732EF2C87F85F22A26C6BB4, StartTime=2016.05.15-12.41.18, HierarchicalDDC=, DataSize=6604, Duration=0.013817, RunGuid=RunID8BEEB12BB8493E568AB0FABBA235C37B
